dgp_code,n_train,rho_eps,n_seed,n_x,n_seed_x,core_vs_oracle_mean,core_vs_oracle_std,tabpfn_naive_vs_oracle_mean,tabpfn_naive_vs_oracle_std,independence_vs_oracle_mean,independence_vs_oracle_std,div_vs_oracle_mean,div_vs_oracle_std,tabpfn_real_vs_oracle_mean,tabpfn_real_vs_oracle_std,tabicl_vs_oracle_mean,tabicl_vs_oracle_std
DGP1_LINEAR,2000,0.6,10,13,130,0.17196915257745557,0.09406181880832619,0.682124814891554,0.25907398396135484,0.4806800039967383,0.052827664205526544,0.19768771326052179,0.08045378643626086,0.16540612395424822,0.0780473189265488,0.17590907350257692,0.07994124170165458
DGP3_PRE_ADDITIVE,2000,0.6,10,13,130,0.28243552964866986,0.046007853007351454,0.4939008222130102,0.23273996104056907,0.4846900424667172,0.07156016524370838,0.5545367902621805,0.034096450187891335,0.2938179416717362,0.06368067091855108,0.40224597347800095,0.08279479579903763
DGP4_PIECEWISE,2000,0.6,10,13,130,0.07495848483378602,0.03439238649707611,0.20649788492710391,0.10800583010657597,0.21078770410695807,0.059582348827005846,0.13887050269271928,0.02529280926090625,0.07328185805840802,0.03364717535997801,0.11545178007828984,0.03780098480331364
DGP5_SOFTPLUS,2000,0.6,10,13,130,0.12456645871704408,0.05064475561816077,0.3714560969388053,0.17712679606878573,0.36720527853162427,0.06511329039243423,0.15188971480269509,0.05163797913834374,0.12492347527096123,0.048434144457685915,0.15779431954813986,0.07944662011788975
