dgp_code,n_train,rho_eps,x,n_seed,core_vs_oracle_mean,core_vs_oracle_std,tabpfn_naive_vs_oracle_mean,tabpfn_naive_vs_oracle_std,independence_vs_oracle_mean,independence_vs_oracle_std,div_vs_oracle_mean,div_vs_oracle_std,tabpfn_real_vs_oracle_mean,tabpfn_real_vs_oracle_std,tabicl_vs_oracle_mean,tabicl_vs_oracle_std
DGP1_LINEAR,2000,0.6,0.0,10,0.28570344895625877,0.16208408713249572,1.0853205776530646,0.062454580184583046,0.5405120328782399,0.10221338595072416,0.15266597172894603,0.047732328001361575,0.23361831650293774,0.13648351091319205,0.18097240232184036,0.07071272358980529
DGP1_LINEAR,2000,0.6,0.25,10,0.25213507870984514,0.14397840810240772,0.9073800900644485,0.05682632127263907,0.536547056387944,0.09071879618023333,0.1462369296399045,0.05015732084815129,0.20967800178925228,0.12696270034410226,0.1668918396905094,0.06444412583590793
DGP1_LINEAR,2000,0.6,0.5,10,0.22064935527563723,0.10945115483906116,0.7338919943482879,0.059101100906931776,0.5034052693767389,0.06447921397447606,0.14897713579982672,0.0480920364036621,0.1788570339574071,0.09290199790299948,0.1561280974997715,0.07307555394756858
DGP1_LINEAR,2000,0.6,0.75,10,0.19099678938728892,0.10003868946599574,0.5851631076684557,0.04562297555972321,0.4880052493536676,0.055916784222683195,0.14268649968715164,0.057423135596202705,0.163067337587891,0.08250244295361953,0.16034067057416806,0.07559914256668368
DGP1_LINEAR,2000,0.6,1.0,10,0.17959522993715382,0.06748568924557889,0.46477080646325486,0.050237614763043885,0.46952467769127004,0.020463141437542874,0.15994147682450452,0.06876731442581684,0.15700064654787813,0.048670351414901544,0.15986932919830285,0.06506578482036114
DGP1_LINEAR,2000,0.6,1.25,10,0.1462156075856932,0.05065733928324875,0.3848019864969254,0.03678194425768909,0.46202825769727635,0.015948482708290426,0.16954410605341333,0.05827281952969046,0.13747582069919928,0.042111131000915576,0.13557661024399456,0.059983262318951756
DGP1_LINEAR,2000,0.6,1.5,10,0.13298410225597318,0.05363714416520076,0.3671417666417596,0.026863086067476137,0.458799171627161,0.010576023589384236,0.18906942925245773,0.06373461561512483,0.1328789792831672,0.04044249321404185,0.1441489201531306,0.0647528556371257
DGP1_LINEAR,2000,0.6,1.75,10,0.12821665507731816,0.040473320986785515,0.40256400130534187,0.03791162570633719,0.4560738918064776,0.011680807183858772,0.19416186177559694,0.07650675103389386,0.1413538938288867,0.047692309217561894,0.14727093401887587,0.059366964946615884
DGP1_LINEAR,2000,0.6,2.0,10,0.12796760055583345,0.04342537354336585,0.5017985779098822,0.04229076476124858,0.4639749478007629,0.018530227650402003,0.2130601389047168,0.07061405758744453,0.14692460023695858,0.05209344637336379,0.15761156744958815,0.06332613720405161
DGP1_LINEAR,2000,0.6,2.25,10,0.12418983260401399,0.03819061491298744,0.6120074835763152,0.0634054185130038,0.4549831511646504,0.0163379917729394,0.22671995211506943,0.07736017040408594,0.1416044671054252,0.04262059546196322,0.16554729333386345,0.06382487373702242
